Concelho,Neighboring_Concelhos
Palmela,"['Vendas Novas', 'Benavente', 'Alcácer do Sal', 'Alcochete', 'Barreiro', 'Moita', 'Montijo', 'Setúbal']"
Santiago do Cacém,"['Aljustrel', 'Ferreira do Alentejo', 'Odemira', 'Ourique', 'Grândola', 'Sines']"
Seixal,"['Almada', 'Barreiro', 'Sesimbra']"
Sesimbra,"['Almada', 'Barreiro', 'Seixal', 'Setúbal']"
Setúbal,"['Barreiro', 'Palmela', 'Sesimbra']"
Sines,"['Odemira', 'Santiago do Cacém']"
Arcos de Valdevez,"['Melgaço', 'Monção', 'Paredes de Coura', 'Ponte da Barca', 'Ponte de Lima']"
Caminha,"['Ponte de Lima', 'Viana do Castelo', 'Vila Nova de Cerveira']"
Melgaço,"['Arcos de Valdevez', 'Monção']"
Monção,"['Arcos de Valdevez', 'Melgaço', 'Paredes de Coura', 'Valença']"
Paredes de Coura,"['Arcos de Valdevez', 'Monção', 'Ponte de Lima', 'Valença', 'Vila Nova de Cerveira']"
Ponte da Barca,"['Terras de Bouro', 'Vila Verde', 'Arcos de Valdevez', 'Ponte de Lima']"
Ponte de Lima,"['Barcelos', 'Vila Verde', 'Arcos de Valdevez', 'Caminha', 'Paredes de Coura', 'Ponte da Barca', 'Viana do Castelo', 'Vila Nova de Cerveira']"
Valença,"['Monção', 'Paredes de Coura', 'Vila Nova de Cerveira']"
Viana do Castelo,"['Barcelos', 'Esposende', 'Caminha', 'Ponte de Lima']"
Vila Nova de Cerveira,"['Caminha', 'Paredes de Coura', 'Ponte de Lima', 'Valença']"
Alijó,"['Carrazeda de Ansiães', 'Murça', 'Sabrosa', 'Vila Pouca de Aguiar', 'São João da Pesqueira']"
Boticas,"['Cabeceiras de Basto', 'Chaves', 'Montalegre', 'Ribeira de Pena', 'Vila Pouca de Aguiar']"
Chaves,"['Vinhais', 'Boticas', 'Montalegre', 'Valpaços', 'Vila Pouca de Aguiar']"
Mesão Frio,"['Baião', 'Peso da Régua', 'Lamego', 'Resende']"
Mondim de Basto,"['Cabeceiras de Basto', 'Celorico de Basto', 'Amarante', 'Ribeira de Pena', 'Vila Real']"
Montalegre,"['Cabeceiras de Basto', 'Terras de Bouro', 'Vieira do Minho', 'Boticas', 'Chaves']"
Murça,"['Carrazeda de Ansiães', 'Mirandela', 'Alijó', 'Valpaços', 'Vila Pouca de Aguiar']"
